A1|Dressing for one wound
A2|Dressing for two wounds
A3|Dressing for three wounds
A4|Dressing for four wounds
A5|Dressing for five wounds
A6|Dressing for six wounds
A7|Dressing for seven wounds
A8|Dressing for eight wounds
A9|Dressing for nine or more wounds
AA|Anesthesia services performed personally by anesthesiologist
AD|Medical supervision by a physician: more than four concurrent anesthesia procedures
AE|Registered dietician
AF|Specialty physician
AG|Primary physician
AH|Clinical psychologist
AI|Principal physician of record
AJ|Clinical social worker
AK|Non participating physician
AM|"Physician, team member service"
AO|Alternate payment method declined by provider of service
AP|Determination of refractive state was not performed in the course of diagnostic ophthalmological examination
AQ|Physician providing a service in an unlisted health professional shortage area (hpsa)
AR|Physician provider services in a physician scarcity area
AS|"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery"
AT|"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)"
AU|"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply"
AV|"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic"
AW|Item furnished in conjunction with a surgical dressing
AX|Item furnished in conjunction with dialysis services
AY|Item or service furnished to an esrd patient that is not for the treatment of esrd
AZ|Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment
BA|Item furnished in conjunction with parenteral enteral nutrition (pen) services
BL|Special acquisition of blood and blood products
BO|"Orally administered nutrition, not by feeding tube"
BP|The beneficiary has been informed of the purchase and rental options and has elected to purchase the item
BR|The beneficiary has been informed of the purchase and rental options and has elected to rent the item
BU|The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision
CA|Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission
CB|"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable"
CC|Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed)
CD|Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable
CE|Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity
CF|Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable
CG|Policy criteria applied
CH|"0 percent impaired, limited or restricted"
CI|"At least 1 percent but less than 20 percent impaired, limited or restricted"
CJ|"At least 20 percent but less than 40 percent impaired, limited or restricted"
CK|"At least 40 percent but less than 60 percent impaired, limited or restricted"
CL|"At least 60 percent but less than 80 percent impaired, limited or restricted"
CM|"At least 80 percent but less than 100 percent impaired, limited or restricted"
CN|"100 percent impaired, limited or restricted"
CP|"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim"
CR|Catastrophe/disaster related
CS|"Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities"
CT|Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard
DA|Oral health assessment by a licensed health professional other than a dentist
E1|"Upper left, eyelid"
E2|"Lower left, eyelid"
E3|"Upper right, eyelid"
E4|"Lower right, eyelid"
EA|Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy
EB|Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy
EC|Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy
ED|Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle
EE|Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle
EJ|"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab"
EM|Emergency reserve supply (for esrd benefit only)
EP|Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program
ET|Emergency services
EX|Expatriate beneficiary
EY|No physician or other licensed health care provider order for this item or service
F1|"Left hand, second digit"
F2|"Left hand, third digit"
F3|"Left hand, fourth digit"
F4|"Left hand, fifth digit"
F5|"Right hand, thumb"
F6|"Right hand, second digit"
F7|"Right hand, third digit"
F8|"Right hand, fourth digit"
F9|"Right hand, fifth digit"
FA|"Left hand, thumb"
FB|"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)"
FC|Partial credit received for replaced device
FP|Service provided as part of family planning program
G1|Most recent urr reading of less than 60
G2|Most recent urr reading of 60 to 64.9
G3|Most recent urr reading of 65 to 69.9
G4|Most recent urr reading of 70 to 74.9
G5|Most recent urr reading of 75 or greater
G6|Esrd patient for whom less than six dialysis sessions have been provided in a month
G7|Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening
G8|"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure"
G9|Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition
GA|"Waiver of liability statement issued as required by payer policy, individual case"
GB|Claim being re-submitted for payment because it is no longer covered under a global payment demonstration
GC|This service has been performed in part by a resident under the direction of a teaching physician
GD|Units of service exceeds medically unlikely edit value and represents reasonable and necessary services
GE|This service has been performed by a resident without the presence of a teaching physician under the primary care exception
GF|"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital"
GG|"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day"
GH|Diagnostic mammogram converted from screening mammogram on same day
GJ|"""opt out"" physician or practitioner emergency or urgent service"
GK|Reasonable and necessary item/service associated with a ga or gz modifier
GL|"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)"
GM|Multiple patients on one ambulance trip
GN|Services delivered under an outpatient speech language pathology plan of care
GO|Services delivered under an outpatient occupational therapy plan of care
GP|Services delivered under an outpatient physical therapy plan of care
GQ|Via asynchronous telecommunications system
GR|"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy"
GS|Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level
GT|Via interactive audio and video telecommunication systems
GU|"Waiver of liability statement issued as required by payer policy, routine notice"
GV|Attending physician not employed or paid under arrangement by the patient's hospice provider
GW|Service not related to the hospice patient's terminal condition
GX|"Notice of liability issued, voluntary under payer policy"
GY|"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit"
GZ|Item or service expected to be denied as not reasonable and necessary
H9|Court-ordered
HA|Child/adolescent program
HB|"Adult program, non geriatric"
HC|"Adult program, geriatric"
HD|Pregnant/parenting women's program
HE|Mental health program
HF|Substance abuse program
HG|Opioid addiction treatment program
HH|Integrated mental health/substance abuse program
HI|Integrated mental health and intellectual disability/developmental disabilities program
HJ|Employee assistance program
HK|Specialized mental health programs for high-risk populations
HL|Intern
HM|Less than bachelor degree level
HN|Bachelors degree level
HO|Masters degree level
HP|Doctoral level
HQ|Group setting
HR|Family/couple with client present
HS|Family/couple without client present
HT|Multi-disciplinary team
HU|Funded by child welfare agency
HV|Funded state addictions agency
HW|Funded by state mental health agency
HX|Funded by county/local agency
HY|Funded by juvenile justice agency
HZ|Funded by criminal justice agency
J1|Competitive acquisition program no-pay submission for a prescription number
J2|"Competitive acquisition program, restocking of emergency drugs after emergency administration"
J3|"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology"
J4|Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge
JA|Administered intravenously
JB|Administered subcutaneously
JC|Skin substitute used as a graft
JD|Skin substitute not used as a graft
